Time,N_QTN
"2021-11-16/04:15:01",54.9093
"2021-11-16/04:15:04",54.1557
"2021-11-16/04:15:08",80.8974
"2021-11-16/04:15:11",83.2941
"2021-11-16/04:15:15",81.8341
"2021-11-16/04:15:18",81.6986
"2021-11-16/04:15:22",55.9755
"2021-11-16/04:15:25",65.0870
"2021-11-16/04:15:29",68.5275
"2021-11-16/04:15:32",111.413
"2021-11-16/04:15:36",83.9733
"2021-11-16/04:15:39",69.3490
"2021-11-16/04:15:43",55.5476
"2021-11-16/04:15:46",55.0316
"2021-11-16/04:15:50",65.1815
"2021-11-16/04:15:53",86.9961
"2021-11-16/04:15:57",83.0653
"2021-11-16/04:16:00",83.7617
"2021-11-16/04:16:04",88.2477
"2021-11-16/04:16:07",83.7681
"2021-11-16/04:16:11",54.2243
"2021-11-16/04:16:14",83.2266
"2021-11-16/04:16:18",53.6205
"2021-11-16/04:16:21",56.5918
"2021-11-16/04:16:25",52.3822
"2021-11-16/04:16:28",42.7504
"2021-11-16/04:16:32",68.2715
"2021-11-16/04:16:35",71.0934
"2021-11-16/04:16:39",69.2233
"2021-11-16/04:16:42",70.9710
"2021-11-16/04:16:46",54.1807
"2021-11-16/04:16:49",66.6474
"2021-11-16/04:16:53",83.2223
"2021-11-16/04:16:56",70.4490
"2021-11-16/04:17:00",68.0392
"2021-11-16/04:17:03",82.7321
"2021-11-16/04:17:07",97.6023
"2021-11-16/04:17:10",67.2827
"2021-11-16/04:17:14",52.8578
"2021-11-16/04:17:17",52.5581
"2021-11-16/04:17:21",70.7924
"2021-11-16/04:17:24",54.1763
"2021-11-16/04:17:28",54.1925
"2021-11-16/04:17:31",69.6544
"2021-11-16/04:17:35",70.8155
"2021-11-16/04:17:38",53.9634
"2021-11-16/04:17:42",51.9592
"2021-11-16/04:17:45",54.2813
"2021-11-16/04:17:49",84.5138
"2021-11-16/04:17:52",68.4315
"2021-11-16/04:17:56",80.2270
"2021-11-16/04:17:59",83.1548
"2021-11-16/04:18:03",98.3809
"2021-11-16/04:18:06",105.363
"2021-11-16/04:18:10",95.9078
"2021-11-16/04:18:13",56.5271
"2021-11-16/04:18:17",69.1779
"2021-11-16/04:18:20",70.1879
"2021-11-16/04:18:24",69.3812
"2021-11-16/04:18:27",111.604
"2021-11-16/04:18:31",69.4966
"2021-11-16/04:18:34",68.6527
"2021-11-16/04:18:38",50.3543
"2021-11-16/04:18:41",52.8896
"2021-11-16/04:18:45",83.6636
"2021-11-16/04:18:48",52.4094
"2021-11-16/04:18:52",54.2226
"2021-11-16/04:18:55",68.6262
"2021-11-16/04:18:59",63.9028
"2021-11-16/04:19:02",69.5521
"2021-11-16/04:19:06",70.3871
"2021-11-16/04:19:09",68.6643
"2021-11-16/04:19:13",53.9099
"2021-11-16/04:19:16",64.4295
"2021-11-16/04:19:20",98.3714
"2021-11-16/04:19:23",54.3049
"2021-11-16/04:19:27",85.1614
"2021-11-16/04:19:30",51.4464
"2021-11-16/04:19:34",53.7732
"2021-11-16/04:19:37",66.8825
"2021-11-16/04:19:41",53.5389
"2021-11-16/04:19:44",53.1012
"2021-11-16/04:19:48",71.1727
"2021-11-16/04:19:51",65.1542
"2021-11-16/04:19:55",66.7203
"2021-11-16/04:19:58",53.6679
"2021-11-16/04:20:02",67.8487
"2021-11-16/04:20:05",69.0997
"2021-11-16/04:20:09",66.9364
"2021-11-16/04:20:12",96.5296
"2021-11-16/04:20:16",83.1850
"2021-11-16/04:20:19",55.3047
"2021-11-16/04:20:23",55.0087
"2021-11-16/04:20:26",82.1613
"2021-11-16/04:20:30",67.2683
"2021-11-16/04:20:33",82.1809
"2021-11-16/04:20:37",80.9775
"2021-11-16/04:20:40",83.6987
"2021-11-16/04:20:43",50.7819
"2021-11-16/04:20:47",68.0768
