Time,N_QTN
"2024-06-20/00:00:06",59.0057
"2024-06-20/00:00:13",-NaN
"2024-06-20/00:00:20",-NaN
"2024-06-20/00:00:27",-NaN
"2024-06-20/00:00:34",83.5966
"2024-06-20/00:00:41",-NaN
"2024-06-20/00:00:48",-NaN
"2024-06-20/00:00:55",-NaN
"2024-06-20/00:01:02",-NaN
"2024-06-20/00:01:09",-NaN
"2024-06-20/00:01:16",-NaN
"2024-06-20/00:01:23",-NaN
"2024-06-20/00:01:30",-NaN
"2024-06-20/00:01:37",-NaN
"2024-06-20/00:01:44",-NaN
"2024-06-20/00:01:51",-NaN
"2024-06-20/00:01:58",-NaN
"2024-06-20/00:02:05",-NaN
"2024-06-20/00:02:12",-NaN
"2024-06-20/00:02:19",67.2154
"2024-06-20/00:02:26",68.1653
"2024-06-20/00:02:33",-NaN
"2024-06-20/00:02:40",-NaN
"2024-06-20/00:02:47",68.1040
"2024-06-20/00:02:54",-NaN
"2024-06-20/00:03:01",-NaN
"2024-06-20/00:03:08",-NaN
"2024-06-20/00:03:15",-NaN
"2024-06-20/00:03:22",62.3406
"2024-06-20/00:03:29",-NaN
"2024-06-20/00:03:36",64.9487
"2024-06-20/00:03:43",-NaN
"2024-06-20/00:03:50",64.3171
"2024-06-20/00:03:57",-NaN
"2024-06-20/00:04:04",-NaN
"2024-06-20/00:04:11",-NaN
"2024-06-20/00:04:18",-NaN
"2024-06-20/00:04:25",-NaN
"2024-06-20/00:04:32",-NaN
"2024-06-20/00:04:39",68.8952
"2024-06-20/00:04:46",-NaN
"2024-06-20/00:04:53",-NaN
"2024-06-20/00:05:00",-NaN
"2024-06-20/00:05:07",-NaN
"2024-06-20/00:05:14",68.5446
"2024-06-20/00:05:21",99.6177
"2024-06-20/00:05:28",99.7719
"2024-06-20/00:05:35",-NaN
"2024-06-20/00:05:42",83.4833
"2024-06-20/00:05:49",-NaN
"2024-06-20/00:05:56",69.3425
"2024-06-20/00:06:03",-NaN
"2024-06-20/00:06:10",66.8477
"2024-06-20/00:06:17",-NaN
"2024-06-20/00:06:24",-NaN
"2024-06-20/00:06:31",-NaN
"2024-06-20/00:06:38",-NaN
"2024-06-20/00:06:45",-NaN
"2024-06-20/00:06:52",-NaN
"2024-06-20/00:06:59",-NaN
"2024-06-20/00:07:06",-NaN
"2024-06-20/00:07:13",-NaN
"2024-06-20/00:07:20",-NaN
"2024-06-20/00:07:27",-NaN
"2024-06-20/00:07:34",78.8453
"2024-06-20/00:07:41",-NaN
"2024-06-20/00:07:48",-NaN
"2024-06-20/00:07:55",78.6497
"2024-06-20/00:08:02",-NaN
"2024-06-20/00:08:09",-NaN
"2024-06-20/00:08:16",-NaN
"2024-06-20/00:08:23",-NaN
"2024-06-20/00:08:30",63.6299
"2024-06-20/00:08:37",-NaN
"2024-06-20/00:08:44",-NaN
"2024-06-20/00:08:51",-NaN
"2024-06-20/00:08:58",-NaN
"2024-06-20/00:09:05",62.2095
"2024-06-20/00:09:12",68.0983
"2024-06-20/00:09:19",-NaN
"2024-06-20/00:09:26",68.8869
"2024-06-20/00:09:33",69.0478
"2024-06-20/00:09:40",-NaN
"2024-06-20/00:09:47",-NaN
"2024-06-20/00:09:54",-NaN
"2024-06-20/00:10:01",-NaN
"2024-06-20/00:10:08",-NaN
"2024-06-20/00:10:15",-NaN
"2024-06-20/00:10:22",-NaN
"2024-06-20/00:10:29",-NaN
"2024-06-20/00:10:36",-NaN
"2024-06-20/00:10:43",-NaN
"2024-06-20/00:10:50",-NaN
"2024-06-20/00:10:57",-NaN
"2024-06-20/00:11:04",78.7592
"2024-06-20/00:11:10",-NaN
"2024-06-20/00:11:17",-NaN
"2024-06-20/00:11:24",-NaN
"2024-06-20/00:11:31",-NaN
"2024-06-20/00:11:38",-NaN
"2024-06-20/00:11:45",-NaN
"2024-06-20/00:11:52",-NaN
"2024-06-20/00:11:59",-NaN
"2024-06-20/00:12:06",-NaN
"2024-06-20/00:12:13",-NaN
"2024-06-20/00:12:20",-NaN
"2024-06-20/00:12:27",-NaN
"2024-06-20/00:12:34",-NaN
"2024-06-20/00:12:41",-NaN
"2024-06-20/00:12:48",-NaN
"2024-06-20/00:12:55",-NaN
"2024-06-20/00:13:02",-NaN
"2024-06-20/00:13:09",-NaN
"2024-06-20/00:13:16",-NaN
"2024-06-20/00:13:23",-NaN
"2024-06-20/00:13:30",-NaN
"2024-06-20/00:13:37",-NaN
"2024-06-20/00:13:44",-NaN
"2024-06-20/00:13:51",-NaN
"2024-06-20/00:13:58",83.3220
"2024-06-20/00:14:05",-NaN
"2024-06-20/00:14:12",-NaN
"2024-06-20/00:14:19",-NaN
"2024-06-20/00:14:26",-NaN
"2024-06-20/00:14:33",-NaN
"2024-06-20/00:14:40",90.9245
"2024-06-20/00:14:47",-NaN
"2024-06-20/00:14:54",-NaN
"2024-06-20/00:15:01",-NaN
"2024-06-20/00:15:08",-NaN
"2024-06-20/00:15:15",-NaN
"2024-06-20/00:15:22",-NaN
"2024-06-20/00:15:29",-NaN
"2024-06-20/00:15:36",-NaN
"2024-06-20/00:15:43",-NaN
"2024-06-20/00:15:50",-NaN
"2024-06-20/00:15:57",-NaN
"2024-06-20/00:16:04",-NaN
"2024-06-20/00:16:11",100.049
"2024-06-20/00:16:18",-NaN
"2024-06-20/00:16:25",-NaN
"2024-06-20/00:16:32",-NaN
"2024-06-20/00:16:39",-NaN
"2024-06-20/00:16:46",-NaN
"2024-06-20/00:16:53",-NaN
"2024-06-20/00:17:00",-NaN
"2024-06-20/00:17:07",91.7001
"2024-06-20/00:17:14",85.8916
"2024-06-20/00:17:21",-NaN
"2024-06-20/00:17:28",85.1484
"2024-06-20/00:17:35",-NaN
"2024-06-20/00:17:42",-NaN
"2024-06-20/00:17:49",-NaN
"2024-06-20/00:17:56",-NaN
"2024-06-20/00:18:03",-NaN
"2024-06-20/00:18:10",-NaN
"2024-06-20/00:18:17",-NaN
"2024-06-20/00:18:24",-NaN
"2024-06-20/00:18:31",-NaN
"2024-06-20/00:18:38",-NaN
"2024-06-20/00:18:45",-NaN
"2024-06-20/00:18:52",-NaN
"2024-06-20/00:18:59",-NaN
"2024-06-20/00:19:06",83.8342
"2024-06-20/00:19:13",97.3470
"2024-06-20/00:19:20",-NaN
"2024-06-20/00:19:27",-NaN
"2024-06-20/00:19:34",82.8839
"2024-06-20/00:19:41",61.4084
"2024-06-20/00:19:48",61.1569
"2024-06-20/00:19:55",-NaN
"2024-06-20/00:20:02",-NaN
"2024-06-20/00:20:09",-NaN
"2024-06-20/00:20:16",-NaN
"2024-06-20/00:20:23",-NaN
"2024-06-20/00:20:30",-NaN
"2024-06-20/00:20:37",-NaN
"2024-06-20/00:20:44",-NaN
"2024-06-20/00:20:51",-NaN
"2024-06-20/00:20:58",-NaN
"2024-06-20/00:21:05",-NaN
"2024-06-20/00:21:12",-NaN
"2024-06-20/00:21:19",73.6249
"2024-06-20/00:21:26",100.033
"2024-06-20/00:21:33",100.399
"2024-06-20/00:21:40",67.8801
"2024-06-20/00:21:47",70.3705
"2024-06-20/00:21:54",-NaN
"2024-06-20/00:22:01",68.9520
"2024-06-20/00:22:08",-NaN
"2024-06-20/00:22:15",-NaN
"2024-06-20/00:22:22",-NaN
"2024-06-20/00:22:29",92.1885
"2024-06-20/00:22:36",88.5895
"2024-06-20/00:22:43",-NaN
"2024-06-20/00:22:50",67.8126
"2024-06-20/00:22:57",97.3032
"2024-06-20/00:23:04",67.7128
"2024-06-20/00:23:11",62.8439
"2024-06-20/00:23:18",-NaN
"2024-06-20/00:23:25",-NaN
"2024-06-20/00:23:31",-NaN
"2024-06-20/00:23:38",-NaN
"2024-06-20/00:23:45",-NaN
"2024-06-20/00:23:52",-NaN
"2024-06-20/00:23:59",-NaN
